Data (Czas PL),Grupa,Kolejka,Mecz,Czas polski,Czas lokalny,Miejscowość i Państwo
11.06.2026,A,1,Meksyk – RPA,21:00,13:00,"Mexico City, Meksyk"
12.06.2026,A,1,Korea Południowa – Czechy,04:00,20:00 (-1 dzień),"Guadalajara, Meksyk"
12.06.2026,B,1,Kanada – Bośnia i Hercegowina,21:00,15:00,"Toronto, Kanada"
13.06.2026,D,1,USA – Paragwaj,03:00,18:00 (-1 dzień),"Los Angeles, USA"
13.06.2026,B,1,Katar – Szwajcaria,21:00,12:00,"Santa Clara (SF), USA"
14.06.2026,C,1,Brazylia – Maroko,00:00,18:00 (-1 dzień),"East Rutherford (NY/NJ), USA"
14.06.2026,C,1,Haiti – Szkocja,03:00,21:00 (-1 dzień),"Boston, USA"
14.06.2026,D,1,Australia – Turcja,06:00,21:00 (-1 dzień),"Vancouver, Kanada"
14.06.2026,E,1,Niemcy – Curacao,19:00,12:00,"Houston, USA"
14.06.2026,F,1,Holandia – Japonia,22:00,15:00,"Dallas, USA"
15.06.2026,E,1,Wybrzeże Kości Słoniowej – Ekwador,01:00,19:00 (-1 dzień),"Filadelfia, USA"
15.06.2026,F,1,Szwecja – Tunezja,04:00,20:00 (-1 dzień),"Monterrey, Meksyk"
15.06.2026,H,1,Hiszpania – Republika Zielonego Prz.,18:00,12:00,"Atlanta, USA"
15.06.2026,G,1,Belgia – Egipt,21:00,12:00,"Seattle, USA"
16.06.2026,H,1,Arabia Saudyjska – Urugwaj,00:00,18:00 (-1 dzień),"Miami, USA"
16.06.2026,G,1,Iran – Nowa Zelandia,03:00,18:00 (-1 dzień),"Los Angeles, USA"
16.06.2026,I,1,Francja – Senegal,21:00,15:00,"East Rutherford (NY/NJ), USA"
17.06.2026,I,1,Irak – Norwegia,00:00,18:00 (-1 dzień),"Boston, USA"
17.06.2026,J,1,Argentyna – Algieria,03:00,20:00 (-1 dzień),"Kansas City, USA"
17.06.2026,J,1,Austria – Jordania,06:00,21:00 (-1 dzień),"Santa Clara (SF), USA"
17.06.2026,K,1,Portugalia – DR Konga,19:00,12:00,"Houston, USA"
17.06.2026,L,1,Anglia – Chorwacja,22:00,15:00,"Dallas, USA"
18.06.2026,L,1,Ghana – Panama,01:00,19:00 (-1 dzień),"Boston, USA"
18.06.2026,K,1,Uzbekistan – Kolumbia,04:00,20:00 (-1 dzień),"Mexico City, Meksyk"
18.06.2026,A,2,Czechy – RPA,18:00,12:00,"Atlanta, USA"
18.06.2026,B,2,Szwajcaria – Bośnia i Hercegowina,21:00,12:00,"Los Angeles, USA"
19.06.2026,B,2,Kanada – Katar,00:00,15:00 (-1 dzień),"Vancouver, Kanada"
19.06.2026,A,2,Meksyk – Korea Południowa,03:00,19:00 (-1 dzień),"Guadalajara, Meksyk"
19.06.2026,D,2,Turcja – Paragwaj,06:00,21:00 (-1 dzień),"Santa Clara (SF), USA"
19.06.2026,D,2,USA – Australia,21:00,12:00,"Seattle, USA"
20.06.2026,C,2,Szkocja – Maroko,00:00,18:00 (-1 dzień),"Boston, USA"
20.06.2026,C,2,Brazylia – Haiti,03:00,21:00 (-1 dzień),"Filadelfia, USA"
20.06.2026,F,2,Tunezja – Japonia,06:00,22:00 (-1 dzień),"Monterrey, Meksyk"
20.06.2026,F,2,Holandia – Szwecja,19:00,12:00,"Houston, USA"
20.06.2026,E,2,Niemcy – Wybrzeże Kości Słoniowej,22:00,16:00,"Toronto, Kanada"
21.06.2026,E,2,Ekwador – Curacao,02:00,19:00 (-1 dzień),"Kansas City, USA"
21.06.2026,H,2,Hiszpania – Arabia Saudyjska,18:00,12:00,"Atlanta, USA"
21.06.2026,G,2,Belgia – Iran,21:00,12:00,"Los Angeles, USA"
22.06.2026,H,2,Urugwaj – Republika Zielonego Prz.,00:00,18:00 (-1 dzień),"Miami, USA"
22.06.2026,G,2,Nowa Zelandia – Egipt,03:00,18:00 (-1 dzień),"Vancouver, Kanada"
22.06.2026,J,2,Argentyna – Austria,19:00,12:00,"Dallas, USA"
22.06.2026,I,2,Francja – Irak,23:00,17:00,"Filadelfia, USA"
23.06.2026,I,2,Norwegia – Senegal,02:00,20:00 (-1 dzień),"East Rutherford (NY/NJ), USA"
23.06.2026,J,2,Jordania – Algieria,05:00,20:00 (-1 dzień),"Santa Clara (SF), USA"
23.06.2026,K,2,Portugalia – Uzbekistan,19:00,12:00,"Houston, USA"
23.06.2026,L,2,Anglia – Ghana,22:00,16:00,"Boston, USA"
24.06.2026,L,2,Panama – Chorwacja,01:00,19:00 (-1 dzień),"Toronto, Kanada"
24.06.2026,K,2,Kolumbia – DR Konga,04:00,20:00 (-1 dzień),"Guadalajara, Meksyk"
24.06.2026,B,3,Szwajcaria – Kanada,21:00,12:00,"Vancouver, Kanada"
24.06.2026,B,3,Bośnia i Hercegowina – Katar,21:00,12:00,"Seattle, USA"
25.06.2026,C,3,Szkocja – Brazylia,00:00,18:00 (-1 dzień),"Miami, USA"
25.06.2026,C,3,Maroko – Haiti,00:00,18:00 (-1 dzień),"Atlanta, USA"
25.06.2026,A,3,RPA – Korea Południowa,03:00,19:00 (-1 dzień),"Monterrey, Meksyk"
25.06.2026,A,3,Czechy – Meksyk,03:00,19:00 (-1 dzień),"Mexico City, Meksyk"
25.06.2026,E,3,Curacao – Wybrzeże Kości Słoniowej,22:00,16:00,"Filadelfia, USA"
25.06.2026,E,3,Ekwador – Niemcy,22:00,16:00,"East Rutherford (NY/NJ), USA"
26.06.2026,F,3,Japonia – Szwecja,01:00,18:00 (-1 dzień),"Dallas, USA"
26.06.2026,F,3,Tunezja – Holandia,01:00,18:00 (-1 dzień),"Kansas City, USA"
26.06.2026,D,3,Paragwaj – Australia,04:00,19:00 (-1 dzień),"Santa Clara (SF), USA"
26.06.2026,D,3,Turcja – USA,04:00,19:00 (-1 dzień),"Los Angeles, USA"
26.06.2026,I,3,Norwegia – Francja,21:00,15:00,"Boston, USA"
26.06.2026,I,3,Senegal – Irak,21:00,15:00,"Toronto, Kanada"
27.06.2026,H,3,Urugwaj – Hiszpania,02:00,18:00 (-1 dzień),"Guadalajara, Meksyk"
27.06.2026,H,3,Republika Zielonego Prz. – Arabia S.,02:00,19:00 (-1 dzień),"Houston, USA"
27.06.2026,G,3,Egipt – Iran,05:00,20:00 (-1 dzień),"Seattle, USA"
27.06.2026,G,3,Nowa Zelandia – Belgia,05:00,20:00 (-1 dzień),"Vancouver, Kanada"
27.06.2026,L,3,Chorwacja – Ghana,23:00,17:00,"Filadelfia, USA"
27.06.2026,L,3,Panama – Anglia,23:00,17:00,"East Rutherford (NY/NJ), USA"
28.06.2026,K,3,DR Konga – Uzbekistan,01:30,19:30 (-1 dzień),"Atlanta, USA"
28.06.2026,K,3,Kolumbia – Portugalia,01:30,19:30 (-1 dzień),"Miami, USA"
28.06.2026,J,3,Algieria – Austria,04:00,21:00 (-1 dzień),"Kansas City, USA"
28.06.2026,J,3,Jordania – Argentyna,04:00,21:00 (-1 dzień),"Dallas, USA"
